Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_us,Desc_quota,Valor_€
2025,1,Ciutat Vella,1,el Raval,1,Sanitat,Quota_íntegra,23769.53
2025,1,Ciutat Vella,1,el Raval,1,Espectacles,Quota_íntegra,2235.29
2025,1,Ciutat Vella,1,el Raval,1,Comerç,Quota_íntegra,81163.15
2025,1,Ciutat Vella,1,el Raval,1,Residencial,Quota_íntegra,435016.84
2025,1,Ciutat Vella,1,el Raval,1,Oficines,Quota_íntegra,106105.68
2025,1,Ciutat Vella,1,el Raval,1,Turisme i Hostaleria,Quota_íntegra,27578.62
2025,1,Ciutat Vella,1,el Raval,1,Administracions Publiques,Quota_íntegra,145689.43
2025,1,Ciutat Vella,1,el Raval,1,Solars,Quota_íntegra,18501.09
2025,1,Ciutat Vella,1,el Raval,1,Aparcament,Quota_íntegra,22461.7
2025,1,Ciutat Vella,1,el Raval,1,Religiós,Quota_íntegra,6076.58
2025,1,Ciutat Vella,1,el Raval,1,Ensenyament i Cultura,Quota_íntegra,188215.22
2025,1,Ciutat Vella,1,el Raval,2,Aparcament,Quota_íntegra,15696.08
2025,1,Ciutat Vella,1,el Raval,2,Residencial,Quota_íntegra,398692.09
2025,1,Ciutat Vella,1,el Raval,2,Turisme i Hostaleria,Quota_íntegra,98103.38
2025,1,Ciutat Vella,1,el Raval,2,Ensenyament i Cultura,Quota_íntegra,66687.05
2025,1,Ciutat Vella,1,el Raval,2,Espectacles,Quota_íntegra,94470.25
2025,1,Ciutat Vella,1,el Raval,2,Comerç,Quota_íntegra,75400.59
2025,1,Ciutat Vella,1,el Raval,2,Solars,Quota_íntegra,301.73
2025,1,Ciutat Vella,1,el Raval,3,Oficines,Quota_íntegra,77175.54
2025,1,Ciutat Vella,1,el Raval,3,Aparcament,Quota_íntegra,23570.25
2025,1,Ciutat Vella,1,el Raval,3,Residencial,Quota_íntegra,467963.43
2025,1,Ciutat Vella,1,el Raval,3,Comerç,Quota_íntegra,82996.3
2025,1,Ciutat Vella,1,el Raval,3,Sanitat,Quota_íntegra,75147.81
2025,1,Ciutat Vella,1,el Raval,3,Ensenyament i Cultura,Quota_íntegra,827.23
2025,1,Ciutat Vella,1,el Raval,3,Solars,Quota_íntegra,42.51
2025,1,Ciutat Vella,1,el Raval,3,Turisme i Hostaleria,Quota_íntegra,182868.32
2025,1,Ciutat Vella,1,el Raval,4,Administracions Publiques,Quota_íntegra,41413.12
2025,1,Ciutat Vella,1,el Raval,4,Aparcament,Quota_íntegra,38780.47
2025,1,Ciutat Vella,1,el Raval,4,Religiós,Quota_íntegra,8810.45
2025,1,Ciutat Vella,1,el Raval,4,Comerç,Quota_íntegra,111502.96
2025,1,Ciutat Vella,1,el Raval,4,Esportiu,Quota_íntegra,26044.77
2025,1,Ciutat Vella,1,el Raval,4,Residencial,Quota_íntegra,632684.33
2025,1,Ciutat Vella,1,el Raval,4,Solars,Quota_íntegra,21831
2025,1,Ciutat Vella,1,el Raval,4,Turisme i Hostaleria,Quota_íntegra,234685.09
2025,1,Ciutat Vella,1,el Raval,4,Ensenyament i Cultura,Quota_íntegra,162718.11
2025,1,Ciutat Vella,1,el Raval,4,Espectacles,Quota_íntegra,27561.01
2025,1,Ciutat Vella,1,el Raval,4,Oficines,Quota_íntegra,32297.79
2025,1,Ciutat Vella,1,el Raval,5,Solars,Quota_íntegra,172.95
