Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Tipus_sup,Superficie_m2
2025,1,Ciutat Vella,1,el Raval,1,Superfície_locals,146477
2025,1,Ciutat Vella,1,el Raval,2,Superfície_locals,105058
2025,1,Ciutat Vella,1,el Raval,3,Superfície_locals,132108
2025,1,Ciutat Vella,1,el Raval,4,Superfície_locals,197767
2025,1,Ciutat Vella,1,el Raval,5,Superfície_locals,209318
2025,1,Ciutat Vella,1,el Raval,6,Superfície_locals,118656
2025,1,Ciutat Vella,1,el Raval,7,Superfície_locals,105057
2025,1,Ciutat Vella,1,el Raval,8,Superfície_locals,88474
2025,1,Ciutat Vella,1,el Raval,9,Superfície_locals,82897
2025,1,Ciutat Vella,1,el Raval,10,Superfície_locals,85932
2025,1,Ciutat Vella,1,el Raval,11,Superfície_locals,119000
2025,1,Ciutat Vella,1,el Raval,12,Superfície_locals,73181
2025,1,Ciutat Vella,1,el Raval,13,Superfície_locals,57474
2025,1,Ciutat Vella,1,el Raval,14,Superfície_locals,57728
2025,1,Ciutat Vella,1,el Raval,15,Superfície_locals,84343
2025,1,Ciutat Vella,1,el Raval,16,Superfície_locals,80900
2025,1,Ciutat Vella,1,el Raval,17,Superfície_locals,69987
2025,1,Ciutat Vella,1,el Raval,18,Superfície_locals,126689
2025,1,Ciutat Vella,1,el Raval,19,Superfície_locals,183030
2025,1,Ciutat Vella,1,el Raval,20,Superfície_locals,247853
2025,1,Ciutat Vella,1,el Raval,21,Superfície_locals,271489
2025,1,Ciutat Vella,2,el Barri Gòtic,22,Superfície_locals,296578
2025,1,Ciutat Vella,2,el Barri Gòtic,23,Superfície_locals,341286
2025,1,Ciutat Vella,2,el Barri Gòtic,25,Superfície_locals,226366
2025,1,Ciutat Vella,2,el Barri Gòtic,26,Superfície_locals,199328
2025,1,Ciutat Vella,2,el Barri Gòtic,27,Superfície_locals,176216
2025,1,Ciutat Vella,2,el Barri Gòtic,28,Superfície_locals,232334
2025,1,Ciutat Vella,2,el Barri Gòtic,29,Superfície_locals,150119
2025,1,Ciutat Vella,2,el Barri Gòtic,30,Superfície_locals,265035
2025,1,Ciutat Vella,2,el Barri Gòtic,31,Superfície_locals,143006
2025,1,Ciutat Vella,3,la Barceloneta,32,Superfície_locals,90080
